Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Barsha South Fourth,Unit,775000.0,28-12-2022,11282.57,1 B/R,1,BLOOM HEIGHTS B,Jumeirah Village Circle,Nakheel Metro Station,14.6,73.4
Al Barsha South Fourth,Unit,590000.0,3/3/2021,6707.59,1 B/R,1,HAMENI TOWER,Jumeirah Village Circle,Dubai Internet City,10.2,51.3
Al Barsha South Fourth,Unit,790000.0,15-03-2022,9183.91,1 B/R,1,HAMENI TOWER,Jumeirah Village Circle,Dubai Internet City,10.2,51.4
Marsa Dubai,Unit,4800000.0,18-10-2022,34433.29,2 B/R,1,Bluewaters Residences 9,,Jumeirah Beach Residency,9.5,50.0
Marsa Dubai,Unit,3000000.0,13-04-2022,20726.82,2 B/R,1,LIV RESIDENCE,Dubai Marina,Jumeirah Beach Resdency,12.0,61.6
Madinat Al Mataar,Unit,292000.0,15-07-2021,7193.89,Studio,1,MAG 565,Dubai World Central,,11.4,57.2
Wadi Al Safa 3,Unit,700000.0,16-08-2022,5058.17,2 B/R,1,CLEOPATRA TOWER,Living Legends,,6.3,31.9
Al Barshaa South Third,Unit,815000.0,30-12-2020,5900.67,1 B/R,1,The Wings - B,Arjan,Sharaf Dg Metro Station,10.2,51.4
Business Bay,Unit,1475987.0,29-12-2022,17376.82,2 B/R,1,REVA RESIDENCES,,Buj Khalifa Dubai Mall Metro Station,12.4,62.8
Al Thanyah Fifth,Unit,1650000.0,28-07-2022,19152.64,1 B/R,1,BANYAN TREE RESIDENCES HILLSIDE DUBAI,Jumeirah Lakes Towers,Damac Properties,5.8,29.9
Al Thanyah Fifth,Unit,1309603.0,11/8/2021,10541.76,2 B/R,1,MBL RESIDENCE,Jumeirah Lakes Towers,Jumeirah Lakes Towers,7.1,36.2
Um Suqaim Third,Unit,2500000.0,22-04-2022,19525.15,2 B/R,1,Madinat Jumeirah Living Lamtara 2,,First Abu Dhabi Bank Metro Station,7.6,39.3
Al Barsha South Fourth,Unit,530000.0,21-04-2022,6824.62,Studio,1,Beverly Residence,Jumeirah Village Circle,Dubai Internet City,10.0,50.3
Al Barshaa South Third,Unit,825000.0,9/6/2022,9820.26,1 B/R,1,2020 Marquis,Arjan,Sharaf Dg Metro Station,11.7,58.9
Business Bay,Unit,1977199.0,18-03-2022,19094.15,1 B/R,1,SLS DUBAI,Business Bay,Buj Khalifa Dubai Mall Metro Station,6.2,32.0
Al Merkadh,Unit,1000000.0,8/2/2023,14122.3,1 B/R,1,The Terraces S,,Buj Khalifa Dubai Mall Metro Station,9.8,49.5
Al Barsha South Fourth,Unit,450000.0,4/1/2023,8991.01,Studio,1,Living Garden II,Jumeirah Village Circle,Nakheel Metro Station,12.0,60.2
Wadi Al Safa 3,Unit,342350.0,20-10-2020,2880.04,2 B/R,1,CROESUS,Majan,,9.0,45.2
Al Safouh Second,Unit,5241021.0,7/3/2022,25008.45,3 B/R,1,Palm View,TECOM Site A,Palm Jumeirah,7.2,38.8
Al Barsha South Fourth,Unit,560000.0,21-07-2022,9742.52,1 B/R,1,Binghatti Mirage,Jumeirah Village Circle,Dubai Internet City,9.6,48.3
Business Bay,Unit,1206346.0,14-07-2021,14926.33,1 B/R,1,AMNA TOWER,,Business Bay Metro Station,5.5,28.1
Hadaeq Sheikh Mohammed Bin Rashid,Unit,1088521.0,3/3/2022,14009.28,1 B/R,1,The Pinnacle,DUBAI HILLS,First Abu Dhabi Bank Metro Station,6.9,35.1
Al Barshaa South Third,Unit,670000.0,9/2/2022,9043.06,1 B/R,1,DIVINE RESIDENCES,Arjan,First Abu Dhabi Bank Metro Station,7.2,36.4
Business Bay,Unit,757914.0,15-07-2022,16756.89,Studio,1,Waves tower,Business Bay,Buj Khalifa Dubai Mall Metro Station,7.5,37.9
Business Bay,Unit,870000.0,19-01-2023,22405.36,Studio,1,Waves tower,Business Bay,Buj Khalifa Dubai Mall Metro Station,12.3,62.0
Al Barsha Third,Villa,1750000.0,11/3/2022,2511.55,,0,,,Dubai Internet City,11.3,57.4
Al Satwa,Villa,2425000.0,26-01-2022,10333.66,,0,,,Trade Centre Metro Station,10.9,55.8
Al Hebiah Third,Villa,3200000.0,10/2/2023,9876.54,,0,,DAMAC HILLS,,11.2,57.7
Al Yufrah 2,Villa,2900000.0,10/5/2022,6815.51,,0,,DAMAC HILLS 2,,5.3,28.0
Al Jafliya,Land,1500000.0,13-04-2022,3246.68,,0,,,Al Jafiliya Metro Station,8.4,42.8
Nadd Hessa,Villa,2550000.0,24-03-2021,7693.7,,0,,Silicon Oasis,,12.9,65.8
Palm Jumeirah,Land,95000000.0,27-12-2022,64569.63,,0,,Palm Jumeirah,Palm Jumeirah,13.9,119.5
Al Jafliya,Villa,2500000.0,8/1/2020,5381.9,,0,,,Al Jafiliya Metro Station,5.7,29.8
Me'Aisem First,Villa,6700000.0,29-03-2022,8823.92,,0,,Jumeirah Golf,Damac Properties,14.8,77.5
Al Bada,Villa,2000000.0,3/6/2021,5979.97,,0,,,Emirates Towers Metro Station,14.0,71.1
Al Goze First,Villa,4500000.0,16-06-2022,4843.76,,0,,,Noor Bank Metro Station,12.6,65.4
Al Thanayah Fourth,Land,2800000.0,2/3/2023,8988.48,,0,,Emirates Hills,Nakheel Metro Station,6.8,35.5
Al Mezhar Second,Land,3600000.0,21-01-2021,1937.5,,0,,,Etisalat Metro Station,9.3,48.4
Al Rashidiya,Villa,2000000.0,28-02-2023,1435.18,,0,,,Rashidiya Metro Station,14.5,73.6
Jumeirah Third,Villa,4500000.0,11/1/2021,4843.76,,0,,,Noor Bank Metro Station,8.7,45.9
Al Thanayah Fourth,Villa,5500000.0,13-10-2022,10184.24,,0,,Meadows 9,Damac Properties,10.3,54.4
Wadi Al Safa 6,Villa,2800000.0,14-09-2020,2855.69,,0,,Arabian Ranches - Savannah,,8.0,41.5
Wadi Al Safa 6,Villa,3500000.0,18-08-2021,6250.78,,0,,Arabian Ranches - Saheel,First Abu Dhabi Bank Metro Station,12.2,62.8
Al Raffa,Building,2500000.0,13-09-2022,21902.93,,0,,,Al Fahidi Metro Station,10.1,51.8
Palm Jumeirah,Villa,9975000.0,20-09-2022,23549.83,,0,,Palm Jumeirah,Palm Jumeirah,8.3,46.8
Al Barsha South Fourth,Land,15004645.0,1/11/2022,6425.23,,0,,Jumeirah Village Circle,Nakheel Metro Station,6.8,41.9
Al Barsha Second,Land,5372640.0,16-06-2021,3013.9,,0,,,Sharaf Dg Metro Station,5.1,28.3
Al Thanayah Fourth,Villa,5500000.0,2/6/2021,5902.43,,0,,Meadows 1,Damac Properties,13.4,69.9
Al Thanyah Fifth,Villa,2650000.0,28-09-2020,4674.22,,0,,Jumeirah Park,Harbour Tower,12.3,62.9
Nad Al Shiba Fourth,Land,4850000.0,24-05-2022,3480.32,,0,,,Creek Metro Station,9.9,52.1
Al Thanyah Fifth,Villa,4090590.0,14-09-2022,6458.35,,0,,Jumeirah Park,Jumeirah Lakes Towers,12.0,62.2
Wadi Al Safa 5,Villa,5500000.0,11/10/2021,4544.52,,0,,The Villa,,5.1,28.4
Me'Aisem First,Villa,5550000.0,31-05-2021,7928.57,,0,,Jumeirah Golf,Harbour Tower,11.1,58.4
Wadi Al Safa 5,Land,1750000.0,3/5/2020,2586.77,,0,,The Villa,,14.1,71.4
Jumeirah First,Land,5800000.0,24-02-2022,6236.76,,0,,,Trade Centre Metro Station,12.4,65.1
Wadi Al Safa 3,Villa,10000000.0,22-06-2022,6491.82,,0,,,,10.5,57.8
Me'Aisem First,Villa,10000000.0,12/12/2022,14108.35,,0,,Jumeirah Golf,Harbour Tower,5.9,34.8
Al Hebiah Third,Villa,2075000.0,12/10/2021,8182.82,,0,,DAMAC HILLS,,5.3,27.6
Jabal Ali First,Villa,3100000.0,28-07-2020,5166.67,,0,,Al Furjan,Ibn Battuta Metro Station,10.8,55.6
Jabal Ali First,Villa,1700000.0,19-03-2015,2833.33,,0,,Al Furjan,Ibn Battuta Metro Station,9.7,49.4
Jabal Ali First,Land,1710000.0,5/1/2023,2850.0,,0,,Al Furjan,Ibn Battuta Metro Station,7.7,39.4
Al Barsha South Fourth,Land,12248060.0,6/3/2023,7879.66,,0,,Jumeirah Village Circle,Nakheel Metro Station,6.3,37.9
Al Barshaa South Second,Villa,4200000.0,1/7/2021,10503.94,,0,,Dubiotech,Sharaf Dg Metro Station,9.3,48.7
Al Barshaa South Second,Villa,3225000.0,8/4/2021,10967.9,,0,,Dubiotech,Sharaf Dg Metro Station,8.6,44.7
Al Merkadh,Land,17259200.0,13-06-2022,12378.58,,0,,,Buj Khalifa Dubai Mall Metro Station,9.5,56.6
Al Merkadh,Land,4937497.0,3/11/2022,6619.96,,0,,,Buj Khalifa Dubai Mall Metro Station,8.7,46.1
Al Hebiah Third,Villa,7600000.0,21-03-2021,12044.37,,0,,DAMAC HILLS,,7.4,41.0
Al Yufrah 2,Land,1290000.0,6/10/2021,7379.86,,0,,DAMAC HILLS 2,,13.6,68.7
Al Barsha Third,Villa,32517857.0,26-05-2022,35003.83,,0,,,Dubai Internet City,11.0,72.1
Al Yufrah 2,Villa,1040000.0,28-04-2022,5861.8,,0,,DAMAC HILLS 2,,12.7,64.0
Al Yufrah 3,Villa,1300000.0,21-02-2023,7437.07,,0,,DAMAC HILLS 2,,6.8,34.7
Saih Shuaib 1,Land,691775.0,10/6/2020,592.01,,0,,,,13.6,68.4
Al Yufrah 3,Land,1075000.0,7/12/2021,6195.25,,0,,DAMAC HILLS 2,,12.4,62.6
Hadaeq Sheikh Mohammed Bin Rashid,Villa,3300000.0,3/9/2020,7591.97,,0,,DUBAI HILLS - SIDRA 2,First Abu Dhabi Bank Metro Station,6.5,34.2
Al Yufrah 2,Land,830000.0,1/8/2022,7235.64,,0,,DAMAC HILLS 2,,8.6,43.4
Hadaeq Sheikh Mohammed Bin Rashid,Land,25961243.0,7/6/2020,1623.25,,0,,HADAEQ SHEIKH MOHAMMED BIN RASHID - DISRICT 7,,9.6,61.7
Palm Jumeirah,Land,245745.0,2/2/2021,4144.1,,0,,,,6.5,32.6
Me'Aisem First,Land,227701.0,15-11-2022,3390.42,,0,,Jumeirah Golf,,11.8,59.1
Al Thanayah Fourth,Villa,1990000.0,14-02-2023,10665.09,3 B/R,0,,Springs - 1,Damac Properties,8.3,42.5
Al Thanayah Fourth,Villa,1800000.0,21-06-2020,5631.51,3 B/R,0,,Springs - 6,Damac Properties,15.0,75.9
Al Thanayah Fourth,Villa,1620000.0,28-06-2021,7715.39,2 B/R,0,,Springs - 6,Damac Properties,13.5,68.4
Wadi Al Safa 6,Villa,2600000.0,20-10-2022,8834.82,2 B/R,0,,Arabian Ranches - Palmera - IV,,7.0,36.4
Al Thanyah Third,Villa,2250000.0,4/8/2020,8217.98,,0,,,,5.7,29.7
Wadi Al Safa 6,Villa,2700000.0,9/11/2021,9908.98,3 B/R,0,,Arabian Ranches - Alma 1,,14.3,72.9
Palm Jumeirah,Villa,17000000.0,27-08-2020,38985.46,4 B/R,0,,Palm Jumeirah,Jumeirah Beach Resdency,14.2,79.9
Al Barsha South Fourth,Villa,1650000.0,29-12-2022,11536.85,3 B/R,0,,Jumeirah Village Circle,Dubai Internet City,8.0,40.9
Al Yelayiss 1,Villa,1400000.0,6/12/2020,7116.35,3 B/R,0,,,,11.3,57.2
Al Yelayiss 1,Villa,800000.0,13-07-2021,6845.8,3 B/R,0,,,,13.0,65.4
Al Yelayiss 1,Villa,1800000.0,10/6/2021,5554.01,3 B/R,0,,,,11.0,55.9
Wadi Al Safa 7,Villa,3300000.0,8/2/2021,15217.19,4 B/R,0,,THE SUSTAINABLE CITY,,8.4,43.7
Wadi Al Safa 7,Villa,3315000.0,1/11/2021,17126.47,3 B/R,0,,THE SUSTAINABLE CITY,,12.6,64.7
Al Yelayiss 2,Villa,1300000.0,24-06-2021,6812.7,3 B/R,0,,TOWN SQUARE,,5.8,29.7
Al Yelayiss 2,Villa,1530000.0,19-01-2022,7983.3,3 B/R,0,,TOWN SQUARE,,6.6,33.8
Al Yelayiss 2,Villa,1500000.0,12/1/2021,5448.01,4 B/R,0,,TOWN SQUARE,,10.5,53.3
Hadaeq Sheikh Mohammed Bin Rashid,Villa,3100000.0,2/11/2021,9103.72,4 B/R,0,,DUBAI HILLS - MAPLE 1,First Abu Dhabi Bank Metro Station,6.0,31.6
Hadaeq Sheikh Mohammed Bin Rashid,Villa,2450000.0,13-07-2021,12578.29,3 B/R,0,,DUBAI HILLS - MAPLE 1,First Abu Dhabi Bank Metro Station,8.1,41.8
Wadi Al Safa 7,Villa,3630900.0,6/1/2023,16826.08,4 B/R,0,,THE SUSTAINABLE CITY,,9.0,46.9
Wadi Al Safa 7,Villa,3302250.0,28-04-2022,16845.64,3 B/R,0,,THE SUSTAINABLE CITY,,12.7,65.2
Wadi Al Safa 7,Villa,1350000.0,13-03-2023,7579.16,2 B/R,0,,800 Villas,,10.2,51.7
Al Yelayiss 2,Villa,1487500.0,19-08-2022,7919.82,3 B/R,0,,TOWN SQUARE,,12.5,63.3
Wadi Al Safa 5,Villa,1415000.0,14-04-2022,8492.38,2 B/R,0,,,,8.0,40.7
Mirdif,Villa,4145000.0,23-12-2022,9755.01,4 B/R,0,,,Etisalat Metro Station,8.8,46.2
Jabal Ali First,Villa,4925000.0,9/2/2023,20623.95,4 B/R,0,,Al Furjan,ENERGY Metro Station,9.5,50.1
Al Thanyah Third,Unit,2500000.0,29-04-2008,13031.69,3 B/R,0,ALNAKHEEL 1,The Greens,Dubai Internet City,7.0,36.3
Marsa Dubai,Unit,1400000.0,20-12-2021,11599.97,2 B/R,1,MARINA HEIGHTS 1,Dubai Marina,Marina Towers,13.3,67.2
Al Thanyah Third,Unit,928888.0,1/6/2008,13243.34,1 B/R,1,AL Alka-3,The Greens,Dubai Internet City,8.3,42.0
Al Thanyah Third,Unit,850000.0,1/5/2008,21154.8,Studio,1,AL Dhafrah-4,The Greens,Dubai Internet City,8.4,42.4
Al Thanyah Third,Unit,1200000.0,30-12-2007,11170.06,2 B/R,1,Al Dhafrah-1,The Greens,Dubai Internet City,9.0,45.6
Marsa Dubai,Unit,975000.0,22-02-2021,11297.8,1 B/R,1,Rimal 3,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,11.1,56.0
Marsa Dubai,Unit,599000.0,18-03-2020,4980.87,2 B/R,1,Bahar 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,14.4,72.3
Marsa Dubai,Unit,2900000.0,21-03-2021,10023.85,4 B/R,1,Sadaf 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,12.0,61.5
Marsa Dubai,Unit,2280000.0,15-07-2022,16954.19,2 B/R,1,Sadaf 5,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,13.4,68.2
Marsa Dubai,Unit,1000000.0,20-07-2011,7342.68,1 B/R,1,Sadaf 7,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,12.6,63.5
Marsa Dubai,Unit,1029500.0,29-11-2007,14211.76,1 B/R,1,Bahar 6,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,12.4,62.5
Marsa Dubai,Unit,299000.0,20-05-2008,4515.93,Studio,1,Murjan 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,9.3,46.7
Marsa Dubai,Unit,1500000.0,22-02-2021,8569.47,3 B/R,1,Shams 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,5.1,26.3
Marsa Dubai,Unit,2100000.0,13-10-2021,12178.86,3 B/R,1,Al Majara 3,Dubai Marina,Jumeirah Lakes Towers,6.8,35.1
Al Warsan First,Unit,230000.0,19-05-2008,5600.19,Studio,0,E05,International City Phase 1,Rashidiya Metro Station,10.4,52.1
Al Warsan First,Unit,220000.0,31-03-2022,4888.89,Studio,0,Y23,International City Phase 1,Rashidiya Metro Station,10.7,53.6
Marsa Dubai,Unit,625740.0,20-05-2008,6958.08,2 B/R,1,MARINA DIAMOND-2,Dubai Marina,Jumeirah Lakes Towers,11.6,58.3
Al Warsan First,Unit,288000.0,1/3/2021,4298.51,1 B/R,0,Y17,International City Phase 1,Rashidiya Metro Station,12.6,63.2
Al Warsan First,Unit,300000.0,17-06-2022,4285.71,1 B/R,0,U19,International City Phase 1,Rashidiya Metro Station,7.0,35.2
Al Warsan First,Unit,185000.0,8/4/2021,4111.11,Studio,0,U08,International City Phase 1,Rashidiya Metro Station,6.6,33.1
Al Warsan First,Unit,200000.0,27-12-2021,4444.44,Studio,0,L03,International City Phase 1,Rashidiya Metro Station,7.0,35.1
Al Warsan First,Unit,200000.0,21-03-2022,4444.44,Studio,0,L04,International City Phase 1,Rashidiya Metro Station,6.3,31.6
Al Warsan First,Unit,280000.0,31-05-2022,3218.39,1 B/R,0,I08,International City Phase 1,Rashidiya Metro Station,7.8,39.1
Al Warsan First,Unit,185000.0,19-08-2020,4868.42,Shop,0,O01,International City Phase 1,Rashidiya Metro Station,10.8,54.1
Al Warsan First,Unit,250000.0,26-01-2009,5681.82,Studio,0,N12,International City Phase 1,Rashidiya Metro Station,13.9,69.6
Al Warsan First,Unit,200000.0,20-09-2020,4545.45,Studio,1,N02,International City Phase 1,Rashidiya Metro Station,11.9,59.6
Al Warsan First,Unit,260000.0,30-06-2021,3823.53,1 B/R,0,O04,International City Phase 1,Rashidiya Metro Station,6.9,34.6
Marsa Dubai,Unit,750000.0,3/3/2023,11973.18,1 B/R,1,MARINA DIAMOND 4,Dubai Marina,Dubai Marina,13.0,65.4
Burj Khalifa,Unit,4000000.0,16-03-2022,23424.69,3 B/R,1,THE RESIDENCES II - TOWER 1,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,10.1,52.6
Marsa Dubai,Unit,531657.0,25-01-2009,10329.45,Studio,1,YACHT BAY,Dubai Marina,Jumeirah Lakes Towers,11.8,59.3
Al Warsan First,Unit,268000.0,18-01-2009,5955.56,Studio,0,Y06,International City Phase 1,Rashidiya Metro Station,8.3,41.6
Al Warsan First,Unit,325000.0,2/9/2022,4887.22,1 B/R,0,T08,International City Phase 1,Rashidiya Metro Station,13.5,67.7
Burj Khalifa,Unit,2300000.0,16-09-2021,15141.54,2 B/R,1,South Ridge 1,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,7.6,39.2
Marsa Dubai,Unit,1500000.0,7/3/2021,7179.09,2 B/R,1,The Jewels T1,Dubai Marina,Jumeirah Beach Residency,8.9,45.3
Jabal Ali First,Unit,250000.0,29-11-2010,5555.56,Studio,0,MED 50,Discovery Gardens,Harbour Tower,12.5,62.6
Jabal Ali First,Unit,315000.0,28-12-2022,6428.57,Studio,0,MED 61,Discovery Gardens,Harbour Tower,11.2,56.2
Jabal Ali First,Unit,465000.0,17-02-2023,5054.35,1 B/R,0,MOG 198,Discovery Gardens,Harbour Tower,12.6,63.2
Jabal Ali First,Unit,290000.0,20-07-2022,6444.44,Studio,0,MED 103,Discovery Gardens,Harbour Tower,13.0,65.2
Jabal Ali First,Unit,276000.0,23-05-2022,5632.65,Studio,0,MED 103,Discovery Gardens,Harbour Tower,14.8,74.1
Al Thanyah Third,Unit,1200000.0,30-09-2020,9822.38,2 B/R,1,LINKS WEST T1,The Greens,Nakheel Metro Station,5.0,25.6
Al Thanyah Fifth,Unit,965000.0,10/11/2022,8333.33,1 B/R,1,DUBAI ARCH TOWER,Jumeirah Lakes Towers,Marina Mall Metro Station,12.7,64.0
Al Thanyah Third,Unit,1950000.0,24-01-2022,12782.69,2 B/R,0,LINKS WEST T1,The Greens,Nakheel Metro Station,9.2,47.0
Al Thanyah Fifth,Unit,1200000.0,28-11-2022,9997.5,Office,1,LIWA HEIGHTS 1,Jumeirah Lakes Towers,Damac Properties,7.8,39.6
Al Thanyah Fifth,Unit,1207440.0,13-12-2009,7670.67,2 B/R,0,LAKE TERRACE,Jumeirah Lakes Towers,Jumeirah Lakes Towers,5.2,26.6
Marsa Dubai,Unit,595000.0,4/5/2021,7777.78,1 B/R,1,DEC TOWERS T2,Dubai Marina,Jumeirah Beach Residency,14.8,74.3
Al Warsan First,Unit,240000.0,10/2/2023,5581.4,Studio,0,Q10,International City Phase 1,Rashidiya Metro Station,8.7,43.6
Al Thanyah Third,Unit,900000.0,20-01-2009,12776.83,1 B/R,1,SAMAR 4,The Greens,Dubai Internet City,10.4,52.5
Al Hebiah First,Unit,910000.0,9/11/2020,5114.95,2 B/R,1,SHERLOCK CIRCUS 2,Motor City,Sharaf Dg Metro Station,8.7,44.0
Marsa Dubai,Unit,1350000.0,3/10/2022,10352.76,2 B/R,1,Sadaf 7,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,13.1,66.2
Marsa Dubai,Unit,1464750.0,15-05-2008,11412.15,2 B/R,1,Amwaj 4,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,12.0,60.8
Burj Khalifa,Unit,1020000.0,22-03-2022,21153.05,Studio,1,Burj Lake Hotel - The Address DownTown,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,10.7,54.0
Burj Khalifa,Unit,850000.0,15-11-2020,17627.54,Studio,1,Burj Lake Hotel - The Address DownTown,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,8.7,43.9
Burj Khalifa,Unit,1400000.0,20-08-2020,16256.39,1 B/R,1,Burj Lake Hotel - The Address DownTown,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,5.8,29.7
Al Thanyah Fifth,Unit,700000.0,18-05-2022,8010.99,Office,1,FORTUNE TOWER,Jumeirah Lakes Towers,Jumeirah Lakes Towers,8.0,40.4
Al Thanyah Fifth,Unit,1722582.0,8/12/2021,10699.93,2 B/R,1,AL SHERA,Jumeirah Lakes Towers,Jumeirah Lakes Towers,5.9,30.4
Marsa Dubai,Unit,2390000.0,31-01-2021,15460.25,2 B/R,1,Paloma x3,Dubai Marina,Jumeirah Beach Residency,12.1,61.8
Al Warsan First,Unit,132934.0,22-08-2022,6996.53,Shop,0,Q03,International City Phase 1,Rashidiya Metro Station,14.0,70.1
Me'Aisem First,Unit,225000.0,13-07-2020,4853.32,Studio,1,THE CRESCENT A,International Media Production Zone,Damac Properties,8.0,40.1
Al Thanyah Fifth,Unit,3050000.0,5/1/2023,6389.31,4 B/R,1,DUBAI GATE ONE,Jumeirah Lakes Towers,Marina Mall Metro Station,5.0,26.6
Palm Jumeirah,Unit,2525000.0,28-04-2022,15662.8,2 B/R,1,Marina Apartments 2,Palm Jumeirah,Palm Jumeirah,7.1,36.8
Al Hebiah Fourth,Unit,445000.0,7/2/2023,5076.43,1 B/R,1,Hub Canal 1,Dubai Sports City,Nakheel Metro Station,10.3,51.7
Al Thanyah Fifth,Unit,650000.0,10/5/2021,6598.98,Office,1,Indigo Icon,Jumeirah Lakes Towers,Marina Mall Metro Station,11.9,59.8
Business Bay,Unit,1250000.0,22-02-2023,10737.91,1 B/R,1,WEST HEIGHTS 1,Business Bay,Business Bay Metro Station,8.3,42.2
Business Bay,Unit,1700000.0,18-06-2020,7894.13,2 B/R,1,EAST HEIGHTS 4,Business Bay,Business Bay Metro Station,6.2,31.9
Al Hebiah Fourth,Unit,413410.0,24-02-2022,5597.22,1 B/R,1,GOLF VIEW RESIDENCE,Dubai Sports City,Nakheel Metro Station,9.0,45.2
Al Barsha South Fourth,Unit,400000.0,19-02-2020,4854.37,1 B/R,1,Emirates Gardens 1 - R1,Jumeirah Village Circle,Dubai Internet City,11.6,58.2
Marsa Dubai,Unit,2200000.0,25-02-2022,14851.82,2 B/R,1,THE POINT TOWER,,Jumeirah Beach Residency,5.6,29.2
Al Thanyah Fifth,Unit,295508.0,24-02-2020,2583.34,Office,1,JUMAIRAH BAY TOWER-X2,Jumeirah Lakes Towers,Damac Properties,5.8,29.2
Al Thanyah Fifth,Unit,522742.0,6/6/2021,6287.5,Office,1,Tiffany Towers,Jumeirah Lakes Towers,Damac Properties,14.3,71.8
Business Bay,Unit,1630433.0,6/2/2023,17088.71,Office,1,Bay Square - 08,Business Bay,Buj Khalifa Dubai Mall Metro Station,9.1,46.4
Marsa Dubai,Unit,1020000.0,11/10/2022,12392.18,1 B/R,1,MAG218,Dubai Marina,Marina Towers,11.9,60.0
Al Thanyah Third,Unit,1150000.0,28-07-2021,17097.83,1 B/R,1,MOSELA,The Greens,Dubai Internet City,13.9,70.1
Al Thanyah Fifth,Unit,594201.0,2/7/2020,14855.02,Shop,1,JUMAIRAH BAY TOWER-X1-1,Jumeirah Lakes Towers,Damac Properties,5.9,29.8
Marsa Dubai,Unit,900000.0,28-04-2021,10506.65,1 B/R,1,PARK ISLAND BLAKELY,Dubai Marina,Jumeirah Beach Resdency,10.8,54.5
Al Thanyah Fifth,Unit,1080000.0,31-05-2022,10388.61,Office,1,JUMEIRA Business Center 2,Jumeirah Lakes Towers,Damac Properties,7.4,37.6
Al Thanyah Fifth,Unit,1295018.0,14-06-2021,10279.55,Office,1,JUMEIRA Business Center 2,Jumeirah Lakes Towers,Damac Properties,7.5,38.2
Business Bay,Unit,675118.0,27-01-2021,5382.0,Office,1,SOBHA IVORY 2,Business Bay,Business Bay Metro Station,8.2,41.4
Wadi Al Safa 5,Unit,665000.0,1/7/2022,5631.3,2 B/R,1,Skycourts Tower A,Residential Complex,,7.5,37.8
Jabal Ali First,Unit,175000.0,18-03-2022,15445.72,Single Room,1,J & G  BUILDING 2,DMCC-EZ2,Harbour Tower,5.1,25.6
Al Thanyah Fifth,Unit,510000.0,26-10-2021,7649.62,Office,1,JUMAIRAH BAY TOWER-X3,Jumeirah Lakes Towers,Damac Properties,8.2,41.3
Business Bay,Unit,1134891.0,15-04-2021,9687.5,,1,REGAL TOWER,Business Bay,Business Bay Metro Station,6.6,33.6
Al Kheeran,Unit,1629000.0,10/8/2022,9903.34,1 B/R,1,Al Badia Hillside 4,Festival City,Emirates Metro Station,12.4,62.9
Al Warsan First,Unit,325000.0,11/3/2022,5414.86,1 B/R,1,Prime Residence 1,International City Phase 1,Rashidiya Metro Station,11.4,57.2
Al Thanyah Fifth,Unit,435000.0,14-04-2020,3920.33,Office,1,MAZAYA BUSINESS AVENUE BB2,Jumeirah Lakes Towers,Jumeirah Lakes Towers,11.1,55.7
Marsa Dubai,Unit,643000.0,25-04-2021,14860.18,Studio,1,BOTANICA TOWER-1,Dubai Marina,Dubai Marina,8.3,41.8
Al Hebiah Fifth,Unit,600000.0,16-03-2020,6422.61,2 B/R,1,AL RAMTH 65,Remraam,,10.3,51.8
Marsa Dubai,Unit,1057000.0,5/12/2022,11299.98,3 B/R,1,PRINCESS TOWER,Dubai Marina,Mina Seyahi,12.1,61.1
Marsa Dubai,Unit,660000.0,8/12/2020,8192.65,1 B/R,1,PRINCESS TOWER,Dubai Marina,Mina Seyahi,14.5,72.8
Marsa Dubai,Unit,10200000.0,8/12/2022,17577.42,4 B/R,1,ELITE RESIDENCE,Dubai Marina,Mina Seyahi,14.5,77.9
Al Hebiah Fifth,Unit,460000.0,28-12-2020,4283.05,1 B/R,1,AL THAMAM 57,Remraam,,5.9,29.7
Al Thanyah Fifth,Unit,729000.0,23-09-2018,8351.47,1 B/R,1,O2 Residences,Jumeirah Lakes Towers,Marina Mall Metro Station,14.1,70.9
Al Warsan First,Unit,225000.0,20-04-2022,4715.99,Studio,0,IC1-EMR-20,International City Phase 1,Rashidiya Metro Station,14.5,72.6
Al Thanyah Fifth,Unit,534196.0,8/12/2022,5112.9,Office,1,HDS BUSINESS CENTRE,Jumeirah Lakes Towers,Jumeirah Lakes Towers,14.2,71.3
Marsa Dubai,Unit,1100000.0,23-05-2022,12345.68,1 B/R,1,MARINA TOWER,Dubai Marina,Dubai Marina,11.3,57.1
