Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Thanyah Fifth,Unit,447000.0,16-01-2020,4303.04,Office,1,HDS BUSINESS CENTRE,Jumeirah Lakes Towers,Jumeirah Lakes Towers,7.8,39.2
Al Thanyah Fifth,Unit,1583832.0,27-09-2021,13562.53,Shop,1,Lakeshore Tower 1,Jumeirah Lakes Towers,Damac Properties,14.3,72.3
Business Bay,Unit,790000.0,19-12-2021,9088.82,Office,1,AL MANARA,Business Bay,Business Bay Metro Station,11.5,57.9
Palm Jumeirah,Unit,2850000.0,1/4/2022,15973.55,2 B/R,1,THE RESIDENCES NORTH,Palm Jumeirah,Palm Jumeirah,13.0,66.5
Palm Jumeirah,Unit,11250000.0,14-04-2022,26180.45,PENTHOUSE,1,THE RESIDENCES NORTH,Palm Jumeirah,Palm Jumeirah,13.4,72.9
Al Hebiah First,Unit,2870000.0,17-12-2020,16714.23,Shop,1,FOX HILL 7,Motor City,Sharaf Dg Metro Station,5.4,28.5
Marsa Dubai,Unit,6150000.0,24-01-2022,18277.46,Office,1,Marina Plaza,Dubai Marina,Marina Mall Metro Station,10.9,57.7
Business Bay,Unit,1108332.0,14-07-2021,13816.16,Shop,1,U-BORA TOWER 4,Business Bay,Business Bay Metro Station,7.6,38.6
Al Hebiah Fourth,Unit,485000.0,23-05-2017,12125.0,Studio,1,Elite Residences 4,Dubai Sports City,Nakheel Metro Station,10.9,54.8
Al Hebiah Fourth,Unit,250000.0,25-10-2020,5946.72,Studio,1,Elite Residences 4,Dubai Sports City,Nakheel Metro Station,12.5,62.6
Al Hebiah Fourth,Unit,425000.0,29-11-2022,4626.1,1 B/R,1,OLYMPIC PARK 3,Dubai Sports City,Nakheel Metro Station,14.5,72.7
Business Bay,Unit,549466.0,17-02-2023,10357.51,Office,1,Opal Tower,Business Bay,Business Bay Metro Station,10.0,50.3
Palm Jumeirah,Unit,3500000.0,10/6/2022,18361.14,2 B/R,1,ROYAL AMWAJ RESIDENCES SOUTH,Palm Jumeirah,Al Sufouh,8.7,45.3
Al Warsan First,Unit,500000.0,28-02-2023,4838.87,2 B/R,1,HDS SUNSTAR 2,International City Phase 1,Rashidiya Metro Station,10.7,53.8
Al Hebiah Fourth,Unit,310000.0,28-11-2021,7339.02,Studio,1,Elite Residences 6,Dubai Sports City,Nakheel Metro Station,12.1,60.7
Burj Khalifa,Unit,1750000.0,1/2/2022,18286.31,2 B/R,1,BD 29 BLVD T2,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,6.4,32.9
Marsa Dubai,Unit,1750000.0,1/6/2022,13686.84,2 B/R,1,CAYAN TOWER,Dubai Marina,Marina Towers,14.5,73.4
Marsa Dubai,Unit,4000000.0,21-10-2022,16883.34,PENTHOUSE,1,CAYAN TOWER,Dubai Marina,Marina Towers,13.3,68.6
Al Barshaa South Third,Unit,371000.0,28-12-2021,6946.26,Office,1,DIAMOND BUSINESS CENTER 2,Arjan,Sharaf Dg Metro Station,13.6,68.2
Business Bay,Unit,450000.0,6/1/2020,13473.05,Studio,1,The Cosmopolitan,Business Bay,Business Bay Metro Station,10.2,51.2
Al Barshaa South Third,Unit,271937.0,5/10/2022,5925.84,Studio,1,Platinum One,Arjan,Sharaf Dg Metro Station,6.4,32.1
Me'Aisem First,Unit,570000.0,18-03-2020,6276.15,2 B/R,1,CENTRIUM TOWER 2,International Media Production Zone,Damac Properties,7.0,35.3
Me'Aisem First,Unit,350000.0,27-02-2023,4641.29,1 B/R,1,LAKESIDE D,International Media Production Zone,Damac Properties,14.4,72.2
Me'Aisem First,Unit,240000.0,10/2/2023,7125.89,Studio,1,LAKESIDE D,International Media Production Zone,Damac Properties,7.7,38.6
Burj Khalifa,Unit,1680000.0,12/9/2022,23575.64,1 B/R,1,VIDA RESIDENCE DOWNTOWN,Burj Khalifa,Business Bay Metro Station,9.6,48.9
Al Hebiah Third,Unit,370000.0,17-01-2023,9220.03,Studio,1,DAMAC HILLS - JASMINE B,DAMAC HILLS,,13.8,69.2
Wadi Al Safa 2,Unit,480000.0,16-08-2021,5567.15,2 B/R,1,MAZAYA 18,Liwan,,12.5,62.8
Palm Jumeirah,Unit,2750000.0,26-05-2021,7885.76,3 B/R,1,GOLDEN MILE 10,Palm Jumeirah,Palm Jumeirah,7.9,40.9
Business Bay,Unit,520000.0,31-01-2023,8260.52,Office,1,Park Lane,Business Bay,Business Bay Metro Station,7.0,35.3
Wadi Al Safa 3,Unit,3525366.0,25-10-2021,9411.26,2 B/R,1,SEVENTH HEAVEN,,,13.0,66.9
Wadi Al Safa 2,Unit,360000.0,11/1/2023,5488.64,1 B/R,1,Mazaya 9,Liwan,,11.7,58.7
Business Bay,Unit,375000.0,17-05-2022,6909.89,Office,1,B2B,Business Bay,Buj Khalifa Dubai Mall Metro Station,7.9,39.7
Al Hebiah Fourth,Unit,248000.0,23-12-2022,5558.05,Studio,1,Frankfurt Sports Tower,Dubai Sports City,Nakheel Metro Station,13.9,69.6
Al Hebiah Fourth,Unit,300000.0,16-12-2020,4254.11,Studio,1,Frankfurt Sports Tower,Dubai Sports City,Nakheel Metro Station,10.0,50.2
Palm Jumeirah,Unit,2350000.0,2/3/2022,29574.63,1 B/R,1,THE 8,Palm Jumeirah,Mina Seyahi,6.4,33.2
Palm Jumeirah,Unit,3700000.0,2/3/2022,28704.42,2 B/R,1,THE 8,Palm Jumeirah,Mina Seyahi,13.5,69.4
Marsa Dubai,Unit,1000000.0,7/10/2022,23696.68,Studio,1,Sky View Tower,Dubai Marina,Dubai Marina,12.1,61.0
Al Thanyah First,Unit,934575.0,19-07-2020,33885.97,Studio,1,SKY CENTRAL,TECOM Site C,Dubai Internet City,9.5,48.0
Al Hebiah Third,Unit,340000.0,20-10-2022,8989.95,Studio,1,DAMAC HILLS - CARSON (C),DAMAC HILLS,,13.4,67.2
Burj Khalifa,Unit,2150000.0,2/3/2020,16629.28,2 B/R,1,BURJ VISTA Tower 1,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,6.3,32.6
Business Bay,Unit,970044.0,4/3/2021,6458.35,2 B/R,1,SAFEER TOWER 2,Business Bay,Business Bay Metro Station,10.8,54.5
